     Src IP Addr,     Dst IP Addr,     bps, Duration,        Date first seen,         Date last seen
     172.253.5.2,   217.15.20.194,       0,    0.000,2020-02-25 08:30:24.770,2020-02-25 08:30:24.770
 192.168.250.247,     172.253.5.2,       0,    0.000,2020-02-25 08:30:24.780,2020-02-25 08:30:24.780
     74.125.41.3,   217.15.20.194,       0,    0.000,2020-02-25 08:30:24.780,2020-02-25 08:30:24.780
 192.168.250.247,     74.125.41.3,       0,    0.000,2020-02-25 08:30:24.780,2020-02-25 08:30:24.780
   192.168.250.3,  23.226.231.226,      78,   31.580,2020-02-25 08:29:56.010,2020-02-25 08:30:27.590
   77.111.247.41,   217.15.20.194,    1643,   45.190,2020-02-25 08:29:43.610,2020-02-25 08:30:28.800
  192.168.250.50,   77.111.247.41,     499,   45.220,2020-02-25 08:29:43.580,2020-02-25 08:30:28.800
   68.232.34.200,   217.15.20.194,     510,  178.030,2020-02-25 08:27:33.290,2020-02-25 08:30:31.320
  192.168.250.57,   68.232.34.200,     123,  178.080,2020-02-25 08:27:33.250,2020-02-25 08:30:31.330
  23.226.231.226,   217.15.20.194,       1,  526.530,2020-02-25 08:21:44.960,2020-02-25 08:30:31.490
     13.232.66.4,   217.15.20.194,    1667,   20.230,2020-02-25 08:30:11.810,2020-02-25 08:30:32.040
   40.114.211.99,   217.15.20.194,     497,  122.240,2020-02-25 08:28:30.890,2020-02-25 08:30:33.130
  192.168.250.27,    77.74.181.18,     484,   22.030,2020-02-25 08:30:11.560,2020-02-25 08:30:33.590
    77.74.181.18,   217.15.20.194,     257,   22.060,2020-02-25 08:30:11.590,2020-02-25 08:30:33.650
  192.168.250.62,   192.168.250.1,       0,    0.000,2020-02-25 08:30:34.110,2020-02-25 08:30:34.110
   192.168.250.1,  192.168.250.62,       0,    0.000,2020-02-25 08:30:34.110,2020-02-25 08:30:34.110
  23.226.231.226,   217.15.20.194,       0,    0.000,2020-02-25 08:30:34.610,2020-02-25 08:30:34.610
   192.168.250.3,   192.168.250.1,       0,    0.000,2020-02-25 08:30:37.260,2020-02-25 08:30:37.260
   192.168.250.1,   192.168.250.3,       0,    0.000,2020-02-25 08:30:37.260,2020-02-25 08:30:37.260
   192.168.250.3,     93.92.192.5,       0,    0.000,2020-02-25 08:30:37.270,2020-02-25 08:30:37.270
     93.92.192.5,   217.15.20.194,       0,    0.000,2020-02-25 08:30:37.270,2020-02-25 08:30:37.270
  192.168.250.50,   77.111.247.41,     181,    9.000,2020-02-25 08:30:28.800,2020-02-25 08:30:37.800
   192.168.250.3,   192.168.250.1,       0,    0.000,2020-02-25 08:30:38.420,2020-02-25 08:30:38.420
   192.168.250.1,   192.168.250.3,       0,    0.000,2020-02-25 08:30:38.430,2020-02-25 08:30:38.430
   192.168.250.3,   192.168.250.1,       0,    0.000,2020-02-25 08:30:38.430,2020-02-25 08:30:38.430
   192.168.250.1,   192.168.250.3,       0,    0.000,2020-02-25 08:30:38.430,2020-02-25 08:30:38.430
   192.168.250.3,   192.168.250.1,       0,    0.000,2020-02-25 08:30:38.430,2020-02-25 08:30:38.430
   192.168.250.1,   192.168.250.3,       0,    0.000,2020-02-25 08:30:38.430,2020-02-25 08:30:38.430
   192.168.250.3,  23.226.231.226,      79,   31.110,2020-02-25 08:30:08.880,2020-02-25 08:30:39.990
  192.168.250.27,    77.74.181.18,     264,   29.620,2020-02-25 08:30:11.980,2020-02-25 08:30:41.600
    77.74.181.18,   217.15.20.194,     144,   29.660,2020-02-25 08:30:12.000,2020-02-25 08:30:41.660
   192.168.250.3,  23.226.231.226,       8,  549.750,2020-02-25 08:21:32.040,2020-02-25 08:30:41.790
  192.168.250.35,   192.168.250.1,       0,    0.000,2020-02-25 08:30:46.780,2020-02-25 08:30:46.780
  192.168.250.35,   192.168.250.1,       0,    0.000,2020-02-25 08:30:46.780,2020-02-25 08:30:46.780
   192.168.250.1,  192.168.250.35,       0,    0.000,2020-02-25 08:30:46.780,2020-02-25 08:30:46.780
   192.168.250.1,  192.168.250.35,       0,    0.000,2020-02-25 08:30:46.790,2020-02-25 08:30:46.790
  192.168.250.35,   192.168.250.1,       0,    0.000,2020-02-25 08:30:46.790,2020-02-25 08:30:46.790
   192.168.250.1,  192.168.250.35,       0,    0.000,2020-02-25 08:30:46.790,2020-02-25 08:30:46.790
  192.168.250.35,   17.253.38.125,       0,    0.000,2020-02-25 08:30:46.800,2020-02-25 08:30:46.800
  192.168.250.35,   17.253.54.253,       0,    0.000,2020-02-25 08:30:46.810,2020-02-25 08:30:46.810
   17.253.54.253,   217.15.20.194,       0,    0.000,2020-02-25 08:30:46.850,2020-02-25 08:30:46.850
  192.168.250.35,   17.253.38.253,       0,    0.000,2020-02-25 08:30:46.960,2020-02-25 08:30:46.960
  23.226.231.226,   217.15.20.194,       0,    0.000,2020-02-25 08:30:47.460,2020-02-25 08:30:47.460
    92.118.38.58,   217.15.20.194,     751,   10.980,2020-02-25 08:30:38.350,2020-02-25 08:30:49.330
   192.168.250.3,    92.118.38.58,     708,   10.980,2020-02-25 08:30:38.350,2020-02-25 08:30:49.330
  192.168.250.50,   192.168.250.1,       0,    0.000,2020-02-25 08:30:49.700,2020-02-25 08:30:49.700
   192.168.250.1,  192.168.250.50,       0,    0.000,2020-02-25 08:30:49.760,2020-02-25 08:30:49.760
  192.168.250.50,   192.168.250.1,       0,    0.000,2020-02-25 08:30:49.770,2020-02-25 08:30:49.770
   192.168.250.1,  192.168.250.50,       0,    0.000,2020-02-25 08:30:49.770,2020-02-25 08:30:49.770
  192.168.250.50,   192.168.250.1,       0,    0.000,2020-02-25 08:30:50.340,2020-02-25 08:30:50.340
   192.168.250.1,  192.168.250.50,       0,    0.000,2020-02-25 08:30:50.440,2020-02-25 08:30:50.440
  192.168.250.50,   192.168.250.1,       0,    0.000,2020-02-25 08:30:50.560,2020-02-25 08:30:50.560
   192.168.250.1,  192.168.250.50,       0,    0.000,2020-02-25 08:30:50.570,2020-02-25 08:30:50.570
  192.168.250.50,   192.168.250.1,       0,    0.000,2020-02-25 08:30:50.970,2020-02-25 08:30:50.970
   192.168.250.1,  192.168.250.50,       0,    0.000,2020-02-25 08:30:50.980,2020-02-25 08:30:50.980
