        Date first seen, Duration,     Src IP Addr,     Dst IP Addr,   Bytes
2020-02-25 08:31:03.830,    0.000,   192.168.250.1,  192.168.250.27,     700
2020-02-25 08:31:03.840,    0.000,  192.168.250.27,   192.168.250.1,     156
2020-02-25 08:31:03.840,    0.000,  192.168.250.27,   192.168.250.1,     156
2020-02-25 08:31:03.840,    0.000,   192.168.250.1,  192.168.250.27,     768
2020-02-25 08:31:03.840,    0.000,  192.168.250.27,   192.168.250.1,     176
2020-02-25 08:31:03.840,    0.000,  192.168.250.27,   192.168.250.1,     176
2020-02-25 08:31:03.840,    0.000,   192.168.250.1,  192.168.250.27,     768
2020-02-25 08:31:03.840,    0.000,  192.168.250.27,   192.168.250.1,     154
2020-02-25 08:31:03.840,    0.000,  192.168.250.27,   192.168.250.1,     154
2020-02-25 08:31:03.840,    0.000,   192.168.250.1,  192.168.250.27,     764
2020-02-25 08:31:03.850,    0.000,   192.168.250.1,  192.168.250.27,     764
2020-02-25 08:31:03.850,    0.000,  192.168.250.27,   192.168.250.1,     154
2020-02-25 08:31:03.850,    0.000,  192.168.250.27,   192.168.250.1,     154
2020-02-25 08:31:03.850,    0.000,   192.168.250.1,  192.168.250.27,     676
2020-02-25 08:31:03.850,    0.000,  192.168.250.27,   192.168.250.1,     152
2020-02-25 08:31:03.850,    0.000,  192.168.250.27,   192.168.250.1,     152
2020-02-25 08:31:03.850,    0.000,   192.168.250.1,  192.168.250.27,     676
2020-02-25 08:31:03.860,    0.000,   192.168.250.1,  192.168.250.27,     888
2020-02-25 08:31:03.860,    0.000,  192.168.250.27,   192.168.250.1,     156
2020-02-25 08:31:03.860,    0.000,  192.168.250.27,   192.168.250.1,     156
2020-02-25 08:31:03.860,    0.000,   192.168.250.1,  192.168.250.27,     888
2020-02-25 08:31:03.860,    0.000,  192.168.250.27,   192.168.250.1,     152
2020-02-25 08:31:03.860,    0.000,  192.168.250.27,   192.168.250.1,     152
2020-02-25 08:31:03.870,    0.000,   192.168.250.1,  192.168.250.27,     760
2020-02-25 08:31:03.870,    0.000,   192.168.250.1,  192.168.250.27,     760
2020-02-25 08:31:03.870,    0.000,   192.168.250.1,  192.168.250.27,     596
2020-02-25 08:31:03.870,    0.000,   192.168.250.1,  192.168.250.27,     596
2020-02-25 08:31:03.870,    0.000,  192.168.250.27,   192.168.250.1,     160
2020-02-25 08:31:03.870,    0.000,  192.168.250.27,   192.168.250.1,     160
2020-02-25 08:31:03.880,    0.000,   192.168.250.1,  192.168.250.27,     700
2020-02-25 08:31:03.880,    0.000,   192.168.250.1,  192.168.250.27,     700
2020-02-25 08:31:03.880,    0.000,   192.168.250.1,  192.168.250.27,     884
2020-02-25 08:31:03.890,    0.000,   192.168.250.1,  192.168.250.27,     884
2020-02-25 08:31:03.890,    0.000,   192.168.250.1,  192.168.250.27,     772
2020-02-25 08:31:03.890,    0.000,   192.168.250.1,  192.168.250.27,     772
2020-02-25 08:31:03.920,    0.000,  192.168.250.27,  62.128.100.161,     224
2020-02-25 08:31:03.940,    0.000,  62.128.100.161,   217.15.20.194,     184
2020-02-25 08:30:59.030,    5.020,   192.168.250.3,    141.8.142.75,    5812
2020-02-25 08:30:59.030,    5.030,    141.8.142.75,   217.15.20.194,     841
2020-02-25 08:31:05.170,    0.000,  192.168.250.50,   192.168.250.1,     120
2020-02-25 08:31:05.180,    0.000,   192.168.250.1,  192.168.250.50,    1070
2020-02-25 08:30:11.540,   53.710,     13.232.66.4,   217.15.20.194,    6076
2020-02-25 08:30:11.340,   53.910,  192.168.250.27,     13.232.66.4,    1724
2020-02-25 08:30:34.610,   31.180,   192.168.250.3,  23.226.231.226,     308
2020-02-25 08:31:06.360,    0.000,  192.168.250.62,   192.168.250.1,     152
2020-02-25 08:31:06.360,    0.000,   192.168.250.1,  192.168.250.62,     152
2020-02-25 08:31:09.550,    0.000,   192.168.250.3,   192.168.250.1,     142
2020-02-25 08:31:09.550,    0.000,   192.168.250.1,   192.168.250.3,     322
2020-02-25 08:31:09.550,    0.000,   192.168.250.3,   192.168.250.1,     124
2020-02-25 08:31:09.550,    0.000,   192.168.250.1,   192.168.250.3,     124
2020-02-25 08:31:09.550,    0.000,   192.168.250.3,   192.168.250.1,     140
2020-02-25 08:31:09.550,    0.000,   192.168.250.1,   192.168.250.3,     140
2020-02-25 08:31:10.010,    0.000,    45.63.43.171,   217.15.20.194,     138
2020-02-25 08:31:10.010,    0.000, 192.168.250.247,    45.63.43.171,     314
2020-02-25 07:38:52.170, 3139.000,     85.21.78.91,   217.15.20.194,     456
2020-02-25 08:31:13.100,    0.000,  23.226.231.226,   217.15.20.194,      80
2020-02-25 07:39:39.360, 3093.900,   192.168.250.3,  192.36.143.130,     456
2020-02-25 08:22:10.780,  543.030,  23.226.231.226,   217.15.20.194,     120
2020-02-25 08:30:57.090,   20.040,  192.168.250.27,    77.74.181.18,     826
2020-02-25 08:30:57.100,   20.040,    77.74.181.18,   217.15.20.194,     359
2020-02-25 08:31:17.250,    0.000,  192.168.250.27,   192.168.250.1,     132
2020-02-25 08:31:17.260,    0.000,   192.168.250.1,  192.168.250.27,    1062
2020-02-25 08:31:17.260,    0.000,  192.168.250.27,   192.168.250.1,     304
2020-02-25 08:31:17.260,    0.000,   192.168.250.1,  192.168.250.27,     761
2020-02-25 08:31:17.410,    0.000,  192.168.250.27,   192.168.250.1,     158
2020-02-25 08:31:17.420,    0.000,   192.168.250.1,  192.168.250.27,    1076
2020-02-25 08:31:17.420,    0.000,  192.168.250.27,   192.168.250.1,     317
2020-02-25 08:31:17.420,    0.000,   192.168.250.1,  192.168.250.27,     848
2020-02-25 08:30:47.460,   31.130,   192.168.250.3,  23.226.231.226,     308
2020-02-25 07:32:04.060, 3555.400,  64.233.162.188,   217.15.20.194,    6612
2020-02-25 08:29:34.660,  105.610,  192.168.250.50,    140.82.118.5,    2345
2020-02-25 08:29:34.700,  105.600,    140.82.118.5,   217.15.20.194,    6241
2020-02-25 08:31:09.480,   11.100,    92.118.38.58,   217.15.20.194,    1031
2020-02-25 08:31:09.480,   11.100,   192.168.250.3,    92.118.38.58,     972
2020-02-25 08:31:21.080,    0.000,     172.253.6.1,   217.15.20.194,     154
2020-02-25 08:31:21.080,    0.000, 192.168.250.247,     172.253.6.1,     308
2020-02-25 08:31:23.430,    0.000,  192.168.250.50,   192.168.250.1,     146
2020-02-25 08:31:23.440,    0.000,   192.168.250.1,  192.168.250.50,    1076
2020-02-25 08:31:23.440,    0.000,  192.168.250.50,   192.168.250.1,     311
2020-02-25 08:31:23.440,    0.000,   192.168.250.1,  192.168.250.50,     832
2020-02-25 08:31:23.450,    0.000,  192.168.250.50,   192.168.250.1,     136
2020-02-25 08:31:23.450,    0.000,   192.168.250.1,  192.168.250.50,     730
2020-02-25 08:31:23.450,    0.000,  192.168.250.50,   192.168.250.1,     136
2020-02-25 08:31:23.450,    0.000,   192.168.250.1,  192.168.250.50,     474
2020-02-25 08:21:57.850,  566.140,   192.168.250.3,  23.226.231.226,     572
2020-02-25 08:31:18.540,    5.500,   192.168.250.3,   141.8.183.203,   18469
2020-02-25 08:31:18.540,    5.520,   141.8.183.203,   217.15.20.194,    1923
2020-02-25 08:31:19.520,    5.020,   192.168.250.3,   141.8.142.178,   13095
2020-02-25 08:31:19.520,    5.040,   141.8.142.178,   217.15.20.194,    1264
2020-02-25 08:31:26.000,    0.000,  23.226.231.226,   217.15.20.194,      80
2020-02-25 08:09:16.360, 1331.580,  23.226.231.226,   217.15.20.194,     240
2020-02-25 08:28:49.640,  158.970,    52.114.75.78,   217.15.20.194,    7599
2020-02-25 08:31:29.650,    0.000,  192.168.250.50,    13.107.3.128,    1601
2020-02-25 08:31:29.650,    0.000,  192.168.250.50,   192.168.250.1,     120
2020-02-25 08:31:29.650,    0.000,   192.168.250.1,  192.168.250.50,    1070
2020-02-25 08:31:29.650,    0.000,  192.168.250.50,   192.168.250.1,     298
2020-02-25 08:31:29.650,    0.000,   192.168.250.1,  192.168.250.50,     749
2020-02-25 08:31:00.270,   31.520,   192.168.250.3,  23.226.231.226,     308
